Experience,Salary
6,47539.97
13,79830.79
8,59119.52
14,80942.63
17,91362.11
11,64951.05
18,101260.55
12,74776.34
6,46879.99
9,63158.8
9,60789.33
1,28138.67
13,78305.63
12,70775.51
5,43968.73
8,57364.38
12,71501.65
8,59007.26
12,78607.2
4,38737.11
13,72004.62
4,34994.78
8,56548.6
7,51010.51
6,49623.58
7,53397.79
2,28190.35
14,75555.35
7,53887.8
0,25406.29
6,47722.55
18,92028.57
1,30414.17
13,80815.7
17,93833.95
14,78457.58
13,77133.66
18,92901.66
18,100173.88
16,89245.53
18,91695.53
15,84097.98
19,102389.9
18,96000.86
0,24172.31
18,93326.79
6,50699.62
10,63054.59
4,34530.66
16,87886.23
10,67943.45
7,51839.21
9,66213.95
11,70286.9
9,62016.27
12,72614.81
17,92795.14
9,60209.73
18,96093.19
19,102592.6
16,86192.51
19,97772.32
15,81630.41
4,47136.96
2,34591.03
14,81913.48
1,25827.46
12,74870.03
7,52650.29
16,89642.51
3,34070.14
18,97480.81
8,55728.5
14,78703.17
8,59202.32
20,100386.88
8,58694.33
13,79053.46
20,102361.07
15,82539.01
16,88330.92
12,73846.11
8,56541.44
14,82300.69
6,54288.94
0,23476.85
0,19854.46
4,43477.77
8,62049.94
11,70178.31
5,41736.75
12,72628.32
7,49644.43
14,82928.57
5,40946.13
5,44099.61
3,33986.99
10,65380.47
20,103900.97
17,93530.29
2,33067.05
2,30040.02
11,70880.63
20,104853.7
20,102034.41
5,51722.78
20,106429.29
5,44540.22
7,57245.61
14,86525.45
17,92563.95
19,102042.19
15,82035.99
5,44558.42
20,104402.81
16,89554.48
8,57998.28
18,98679.49
17,93712.93
4,37367.77
5,42184.6
11,67360.78
10,64153.28
15,88152.32
19,97511.18
16,87927.75
19,103859.03
8,56100.37
0,26381.25
2,32581.37
20,105770.35
8,56314.58
18,99001.2
12,68364.83
13,75910.06
19,101889.72
18,98601.09
6,53478.86
3,35826.93
11,73438.45
13,75022.93
1,32985.94
0,27452.4
17,90259.62
19,101921.12
7,52846.29
2,34876.75
5,44330.19
12,72078.26
8,61107.28
8,56703.84
19,103479.27
8,56323.95
14,85999.99
12,70965.0
15,83157.57
1,33573.55
13,75665.16
5,49803.22
1,31675.52
7,52536.05
3,31560.12
20,104942.05
13,77304.89
10,68501.65
13,81765.34
11,66945.04
15,87403.55
5,47296.21
19,104220.24
0,26496.07
11,63172.51
6,48533.73
7,49532.88
8,56392.18
1,31940.01
16,89915.45
19,104444.27
12,74025.26
4,37105.02
9,53437.46
11,69446.43
16,88358.22
20,102069.16
5,39898.12
2,30795.77
14,80416.53
6,50997.63
5,45565.89
3,41824.2
18,93893.19
4,43643.18
2,33141.9
8,59084.01
5,43690.46
12,76215.04
19,101885.67
3,34961.67
1,28963.93
3,36281.33
7,54467.54
12,69460.67
9,60911.94
17,94185.92
8,57099.07
0,29040.82
12,75322.07
17,92977.56
14,81650.07
1,29887.0
10,66209.9
13,71523.03
14,80095.42
13,72546.68
15,88834.84
14,80817.45
18,96419.98
8,59690.39
4,42266.97
4,37614.1
10,64787.28
19,99994.5
3,31766.4
19,98929.17
17,92449.38
2,32655.15
3,32553.31
13,80455.0
6,48693.69
7,53112.66
15,86201.92
19,98635.77
14,82369.07
6,47898.78
16,86310.24
11,70720.34
17,97475.02
13,79174.49
14,83768.93
14,79438.11
4,36207.14
15,89470.41
4,47163.54
1,33628.42
19,99992.64
8,53536.1
8,53802.95
3,31948.8
14,80677.86
10,69817.03
0,24575.01
17,93906.97
0,29126.79
7,51787.71
15,91106.59
17,98976.28
8,56606.67
11,67267.4
18,99091.71
17,91957.43
4,37530.33
1,32843.72
6,52649.34
9,61466.53
14,77211.41
6,45311.42
4,41321.69
14,79500.39
19,99976.72
19,104065.89
14,83199.54
9,65134.43
13,74028.13
9,59970.43
16,91276.95
20,106344.24
13,81597.14
1,30261.61
15,90544.33
12,74620.05
8,60186.5
6,48029.46
15,85042.86
9,63732.83
8,61838.93
6,51187.71
15,84750.48
8,61132.01
16,82424.06
19,96733.3
6,51044.9
10,65042.33
7,54816.54
6,49193.22
18,98712.84
19,98556.79
11,70711.46
6,51983.24
7,56661.65
6,55040.66
5,45732.3
8,57821.73
12,68430.48
6,47405.77
7,52420.75
16,92150.96
16,87167.0
15,87389.02
1,28995.13
7,52468.5
16,89746.68
12,71826.53
17,91712.89
9,55885.64
1,28256.14
1,27560.1
13,75452.06
15,86250.62
6,50975.9
20,105696.58
20,107986.25
11,70726.69
13,76114.83
3,35611.43
3,37938.47
17,94721.3
2,37193.53
0,28573.52
16,87375.58
6,48693.98
15,87013.05
4,44203.99
18,99816.91
6,48808.37
13,73237.93
1,26003.19
2,33817.9
16,90026.68
15,81703.96
7,53133.71
17,94893.67
14,77546.32
6,52314.99
8,55867.41
5,48772.84
17,91399.64
17,89920.12
13,75625.59
13,76714.56
13,75834.56
3,36352.0
3,38001.9
14,80486.46
14,80801.66
17,87872.32
13,78175.09
0,24732.39
9,65830.88
19,98181.3
9,55575.11
9,62854.21
1,30039.58
7,49974.7
0,20410.75
0,29612.19
3,41242.33
6,41537.63
8,55625.33
15,89992.58
4,39571.81
1,27528.16
10,64151.72
17,89637.31
18,91885.67
12,76157.64
10,59471.19
19,101741.81
18,99659.74
16,84646.32
4,38227.19
12,76639.54
19,102598.68
0,23148.14
9,64606.75
7,56619.61
7,53807.16
18,94299.52
5,43759.65
11,69859.16
6,48434.22
15,87816.87
8,52410.68
20,100517.21
9,61542.61
9,59525.37
9,59118.85
19,95695.83
15,85058.64
0,24841.73
16,90960.44
20,105206.72
13,76602.19
18,100531.0
20,101062.6
20,106609.17
16,83986.56
13,74484.91
7,49362.03
20,107345.83
20,104803.77
8,56959.49
7,49679.8
12,72100.92
16,86709.6
18,98150.37
6,46026.73
16,92989.38
0,19973.26
4,38580.44
5,50031.6
1,27694.58
15,81055.36
4,41657.21
4,39573.82
11,66492.39
2,29712.39
15,93305.12
5,44245.34
14,75223.3
14,85481.13
15,86833.21
19,98700.6
12,70200.64
11,71020.42
9,60259.25
13,71222.07
1,34361.72
2,31698.03
8,61486.72
10,68835.3
10,61996.97
9,64099.57
13,75045.67
8,51399.9
19,99726.21
20,106192.91
9,59611.79
8,56078.85
4,44430.7
7,53319.48
10,62470.11
0,27106.09
20,105593.03
9,53435.19
0,26285.06
6,50175.49
13,77060.36
4,43675.1
16,86982.82
20,106009.5
5,40299.12
15,86221.27
10,70859.18
9,58015.43
14,78720.59
6,46869.95
1,29389.99
11,65810.89
18,98263.74
11,71540.52
15,86603.04
5,39694.75
2,35985.5
1,31812.1
19,103490.48
4,42118.53
10,65660.57
2,36097.17
2,38770.54
4,38140.88
10,68234.38
2,32741.35
12,72610.98
20,100390.41
7,52145.63
19,98008.21
9,59608.44
1,25705.44
3,35653.27
17,91781.67
18,97290.26
3,32155.75
19,96663.45
8,58085.74
15,82607.69
5,48223.59
3,37675.81
8,58820.29
12,77232.08
8,56070.87
5,43276.54
20,107615.11
